R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:5;(R5,C3)
2:2;(B5,D3)
3:3;(R3,A2)
4:2;(B2,C2)
5:3;(R3,A1)
6:1;(B1,D3)
7:2;(R2,B4)
8:2;(B4,B1)
9:4;(R4,D5)
10:5;(B4,A2)
11:1;(R1,B4)
12:3;(B6,D2)
13:4;(R4,D4)
14:5;(B2,B3)
15:1;(R1,C3)
16:1;(B2,B4)
17:6;(R6,B5)
18:4;(B2,A4)
19:2;(R1,D2)
20:1;(B4,A3)
21:6;(R6,C4)
22:5;(B4,A4)
23:3;(R3,B1)
24:3;(B4,A5)
