R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(B4,B1)
2:5;(R5,B3)
3:5;(B4,B2)
4:4;(R4,C4)
5:1;(B5,D3)
6:1;(R1,B4)
7:3;(B2,C2)
8:4;(R4,D3)
9:3;(B4,B3)
10:2;(R2,B4)
11:1;(B4,A4)
12:5;(R4,E3)
13:6;(B1,E3)
14:1;(R2,C3)
15:2;(B1,E4)
16:5;(R6,A4)
17:5;(B6,E2)
18:2;(R2,C2)
19:6;(B6,D3)
20:6;(R6,B3)
21:2;(B6,D4)
22:1;(R2,C1)
23:1;(B6,C5)
24:4;(R6,C2)
25:4;(B1,E5)
26:2;(R2,D1)
27:2;(B1,D5)
28:3;(R3,B2)
29:3;(B1,C5)
30:2;(R2,E1)
