R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(R2,B4)
2:3;(B6,E2)
3:3;(R3,B3)
4:3;(B3,D3)
5:4;(R4,D5)
6:5;(B6,E3)
7:6;(R6,B5)
8:3;(B2,C1)
9:5;(R4,E5)
10:2;(B5,C3)
11:5;(R6,B4)
12:6;(B3,C3)
13:6;(R6,C3)
14:5;(B6,D4)
15:3;(R3,C2)
16:1;(B2,C2)
17:6;(R6,D2)
18:4;(B2,C3)
19:2;(R1,A3)
20:5;(B6,C5)
21:6;(R6,E1)
