R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(R2,B4)
2:4;(B6,E2)
3:2;(R2,C3)
4:3;(B2,D2)
5:2;(R2,D2)
6:1;(B6,D2)
7:5;(R6,A4)
8:3;(B3,D3)
9:1;(R3,B2)
10:2;(B3,C4)
11:1;(R3,C1)
12:2;(B3,C5)
13:3;(R3,D1)
14:3;(B6,C2)
15:4;(R6,A3)
16:3;(B6,B3)
17:4;(R6,A2)
18:5;(B6,B4)
19:6;(R6,A1)
20:6;(B6,A5)
