R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:3;(R3,B2)
2:4;(B5,D3)
3:1;(R1,B4)
4:2;(B4,B1)
5:3;(R3,B1)
6:4;(B3,E4)
7:1;(R1,B3)
8:2;(B2,C1)
9:1;(R1,C3)
10:5;(B5,C4)
11:2;(R2,C5)
12:2;(B3,D5)
13:1;(R1,D2)
14:1;(B5,C5)
15:4;(R6,A4)
16:2;(B3,C5)
17:5;(R6,A3)
18:2;(B3,B5)
19:2;(R1,E1)
