R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:5;(R5,C3)
2:2;(B3,E4)
3:3;(R3,B2)
4:2;(B6,D2)
5:5;(R5,D3)
6:3;(B1,D3)
7:2;(R2,C5)
8:1;(B1,D4)
9:6;(R6,A4)
10:5;(B4,C2)
11:6;(R6,A3)
12:3;(B6,C3)
13:5;(R3,C1)
14:6;(B1,D5)
15:3;(R3,D1)
16:4;(B6,B4)
17:2;(R2,C4)
18:3;(B1,C5)
19:2;(R2,D3)
20:1;(B6,A5)
