R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:3;(R3,B3)
2:2;(B6,E2)
3:3;(R3,B2)
4:5;(B3,E4)
5:5;(R5,B3)
6:1;(B6,D3)
7:3;(R3,C1)
8:3;(B5,C3)
9:6;(R6,B4)
10:4;(B2,C1)
11:2;(R2,B4)
12:3;(B3,D4)
13:1;(R1,B3)
14:6;(B5,B4)
15:5;(R4,D5)
16:1;(B6,C3)
17:4;(R4,D4)
18:6;(B2,C2)
19:4;(R4,D3)
20:4;(B5,A5)
