R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:4;(B3,E4)
2:5;(R5,C3)
3:2;(B3,D4)
4:4;(R4,D5)
5:3;(B1,E3)
6:1;(R1,A3)
7:1;(B5,D3)
8:6;(R6,A4)
9:5;(B5,C4)
10:4;(R4,D4)
11:5;(B5,C5)
12:2;(R2,C4)
13:5;(B6,E2)
14:3;(R2,C3)
15:5;(B2,C1)
16:2;(R2,D2)
17:3;(B2,C2)
18:6;(R6,B3)
19:2;(B2,C3)
20:1;(R1,A2)
21:3;(B5,B5)
22:6;(R6,B2)
23:3;(B5,A5)
