R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(R2,C5)
2:3;(B3,D4)
3:4;(R5,C3)
4:2;(B6,D1)
5:3;(R3,B2)
6:4;(B1,E3)
7:4;(R3,B1)
8:5;(B1,E4)
9:5;(R5,C2)
10:4;(B3,C5)
11:5;(R5,C1)
12:5;(B5,C2)
13:3;(R3,C1)
14:2;(B6,D2)
15:2;(R1,A3)
16:5;(B1,D5)
17:5;(R6,B4)
18:1;(B1,C5)
19:1;(R1,B3)
20:6;(B5,B2)
21:3;(R3,D1)
22:3;(B5,A3)
23:3;(R3,E1)
