R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:1;(B2,C1)
2:5;(R5,B3)
3:3;(B2,B2)
4:4;(R4,C4)
5:3;(B5,D3)
6:6;(R6,B5)
7:4;(B5,C3)
8:4;(R4,D3)
9:2;(B1,E3)
10:1;(R1,B3)
11:1;(B1,D3)
12:1;(R1,C2)
13:2;(B6,D2)
14:4;(R3,B2)
15:1;(B6,D3)
16:6;(R6,B4)
17:5;(B5,B4)
18:6;(R3,C2)
19:4;(B5,A4)
20:6;(R3,D1)
21:1;(B5,A5)
