R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:4;(B6,D1)
2:5;(R5,B3)
3:1;(B6,C1)
4:2;(R2,C5)
5:6;(B1,D2)
6:1;(R1,A3)
7:3;(B1,D3)
8:1;(R1,A2)
9:4;(B3,D3)
10:1;(R1,B1)
11:5;(B6,C2)
12:3;(R5,C2)
13:5;(B3,D4)
14:4;(R2,C4)
15:5;(B3,D5)
16:1;(R1,C1)
17:6;(B3,C5)
18:5;(R5,D2)
19:6;(B3,B5)
20:2;(R2,D4)
21:1;(B3,A5)
