R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:1;(B3,D3)
2:6;(R6,A4)
3:5;(B4,B2)
4:6;(R6,A3)
5:4;(B1,D2)
6:5;(R5,B3)
7:1;(B2,D2)
8:5;(R5,C3)
9:1;(B6,E2)
10:6;(R6,B2)
11:1;(B6,D2)
12:6;(R6,C1)
13:5;(B3,C4)
14:3;(R4,C4)
15:5;(B6,C3)
16:1;(R2,C4)
17:2;(B6,B4)
18:4;(R6,D1)
19:2;(B6,B5)
20:4;(R6,E1)
