R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:1;(B1,D2)
2:1;(R1,A3)
3:4;(B1,C3)
4:3;(R4,D5)
5:4;(B6,E2)
6:6;(R6,A4)
7:5;(B6,D3)
8:2;(R2,C4)
9:3;(B4,C2)
10:2;(R2,C3)
11:5;(B6,C4)
12:4;(R4,E5)
13:1;(B4,C3)
14:3;(R1,B2)
15:4;(B4,B4)
16:1;(R1,C1)
17:1;(B2,D2)
18:3;(R1,D1)
19:3;(B2,C3)
20:2;(R1,E1)
