R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(B6,D1)
2:6;(R6,B5)
3:2;(B5,C2)
4:4;(R4,D5)
5:1;(B3,E4)
6:2;(R1,A3)
7:1;(B4,B2)
8:6;(R6,B4)
9:4;(B3,D4)
10:4;(R4,E5)
11:2;(B6,C2)
12:6;(R6,C3)
13:5;(B3,C4)
14:2;(R1,B2)
15:4;(B1,D3)
16:5;(R6,D2)
17:1;(B3,B5)
18:3;(R1,B1)
19:6;(B1,D4)
20:4;(R4,E4)
21:2;(B1,C5)
22:6;(R6,D1)
23:5;(B3,A5)
