R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:6;(B6,D1)
2:1;(R1,B3)
3:6;(B3,D4)
4:2;(R2,B4)
5:6;(B3,C5)
6:1;(R1,C3)
7:6;(B1,D2)
8:4;(R3,B2)
9:4;(B6,D2)
10:2;(R2,C4)
11:3;(B3,B5)
12:4;(R6,B5)
13:4;(B4,C2)
14:6;(R6,B4)
15:4;(B4,B2)
16:6;(R6,B3)
17:1;(B4,A3)
18:1;(R1,D2)
19:5;(B4,A4)
20:2;(R2,D4)
21:1;(B4,A5)
