R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(R2,B4)
2:2;(B2,D2)
3:6;(R6,A4)
4:5;(B6,E2)
5:3;(R3,B2)
6:2;(B4,C2)
7:4;(R4,D5)
8:5;(B4,C3)
9:3;(R3,B1)
10:2;(B6,D2)
11:4;(R4,D4)
12:2;(B3,E4)
13:6;(R6,A3)
14:2;(B3,E5)
15:3;(R3,C1)
16:2;(B6,C3)
17:4;(R4,E3)
18:2;(B6,C4)
19:6;(R6,A2)
20:3;(B3,D5)
21:4;(R4,E2)
22:4;(B3,C5)
23:1;(R2,C3)
24:6;(B6,C5)
25:5;(R4,E1)
