R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:4;(B3,E4)
2:2;(R2,B4)
3:4;(B5,C2)
4:2;(R2,B3)
5:1;(B1,D3)
6:3;(R3,B3)
7:2;(B1,D4)
8:5;(R6,A4)
9:1;(B5,B2)
10:1;(R3,B2)
11:4;(B1,C5)
12:5;(R6,A3)
13:1;(B3,D5)
14:3;(R3,B1)
15:4;(B3,C5)
16:1;(R3,C1)
17:2;(B6,D1)
18:1;(R3,D1)
19:1;(B3,B5)
20:4;(R3,E1)
