R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:5;(R5,C3)
2:3;(B5,D3)
3:4;(R4,C4)
4:5;(B5,C3)
5:5;(R4,C3)
6:4;(B6,D2)
7:6;(R6,A4)
8:2;(B4,B2)
9:5;(R6,A3)
10:4;(B6,D3)
11:5;(R6,A2)
12:4;(B2,C2)
13:3;(R2,C4)
14:2;(B2,C3)
15:4;(R6,A1)
16:5;(B6,C3)
17:2;(R2,D3)
18:4;(B4,B3)
19:4;(R6,B1)
20:1;(B3,D3)
21:1;(R6,C1)
22:4;(B3,C4)
23:2;(R6,D1)
24:5;(B3,B5)
25:1;(R6,E1)
