R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:1;(B5,D3)
2:6;(R6,A4)
3:6;(B5,C3)
4:2;(R2,B4)
5:1;(B6,E2)
6:1;(R2,C4)
7:3;(B4,C2)
8:6;(R6,B3)
9:2;(B2,D2)
10:2;(R2,C3)
11:2;(B3,D4)
12:2;(R2,D2)
13:6;(B3,C4)
14:6;(R6,B2)
15:4;(B6,D2)
16:3;(R3,B2)
17:2;(B3,B5)
18:5;(R4,D4)
19:3;(B4,B3)
20:3;(R3,C2)
21:1;(B6,C2)
22:3;(R4,E3)
23:1;(B3,A5)
