R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:3;(R3,A2)
2:3;(B1,E3)
3:6;(R6,A4)
4:2;(B2,C1)
5:6;(R6,A3)
6:4;(B6,D2)
7:4;(R4,C4)
8:6;(B2,C2)
9:6;(R6,A2)
10:2;(B1,D4)
11:4;(R4,D3)
12:4;(B1,C4)
13:2;(R2,C4)
14:6;(B2,C3)
15:6;(R6,B1)
16:5;(B2,B4)
17:1;(R2,C3)
18:3;(B6,D3)
19:6;(R6,C1)
20:4;(B6,C4)
21:4;(R2,D2)
22:1;(B2,A4)
23:5;(R2,E1)
