R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(R2,B4)
2:3;(B5,D3)
3:1;(R1,A3)
4:6;(B3,D3)
5:3;(R2,C4)
6:5;(B2,C1)
7:5;(R4,D5)
8:1;(B2,C2)
9:4;(R4,D4)
10:1;(B3,D4)
11:6;(R6,A4)
12:4;(B3,C4)
13:2;(R6,A3)
14:3;(B2,B3)
15:3;(R6,A2)
16:3;(B3,B4)
17:2;(R6,A1)
18:2;(B6,E2)
19:4;(R6,B1)
20:6;(B3,A5)
