R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(R2,B4)
2:2;(B4,B2)
3:6;(R6,A4)
4:3;(B1,D2)
5:6;(R6,B4)
6:4;(B3,D4)
7:6;(R6,B3)
8:3;(B6,D1)
9:1;(R3,B2)
10:2;(B3,C4)
11:5;(R4,C4)
12:1;(B1,C3)
13:1;(R3,C1)
14:1;(B6,D2)
15:5;(R6,C3)
16:1;(B6,C2)
17:1;(R3,D1)
18:1;(B6,B2)
19:1;(R3,E1)
