R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(R2,B4)
2:1;(B4,B2)
3:5;(R4,C4)
4:4;(B5,C3)
5:5;(R4,C3)
6:4;(B4,B3)
7:6;(R6,A4)
8:3;(B3,D3)
9:6;(R6,A3)
10:5;(B1,D2)
11:2;(R2,C4)
12:4;(B4,A4)
13:1;(R2,C3)
14:5;(B1,C3)
15:2;(R6,A2)
16:6;(B1,B4)
17:5;(R6,B1)
18:4;(B2,D2)
19:6;(R6,C1)
20:1;(B1,A5)
