R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:5;(R5,C4)
2:3;(B6,E2)
3:2;(R2,B4)
4:1;(B4,C2)
5:3;(R3,B2)
6:5;(B6,E3)
7:3;(R3,C1)
8:2;(B2,C1)
9:4;(R4,D4)
10:3;(B2,C2)
11:1;(R1,B3)
12:4;(B2,C3)
13:1;(R1,C3)
14:2;(B5,C2)
15:3;(R4,E3)
16:4;(B5,B3)
17:4;(R4,E2)
18:1;(B5,A4)
19:3;(R2,C3)
20:5;(B5,A5)
