R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:5;(B1,D2)
2:3;(R3,B2)
3:5;(B6,D1)
4:5;(R5,C3)
5:3;(B3,D3)
6:1;(R1,B4)
7:5;(B3,C3)
8:5;(R4,D4)
9:4;(B6,D2)
10:6;(R6,B5)
11:1;(B3,B4)
12:6;(R6,B4)
13:5;(B4,B2)
14:6;(R6,B3)
15:3;(B6,C2)
16:5;(R6,B2)
17:2;(B6,C3)
18:6;(R6,C2)
19:3;(B6,B4)
20:5;(R6,D2)
21:2;(B6,A5)
