R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:3;(R3,A2)
2:5;(B5,D3)
3:6;(R6,B4)
4:6;(B2,C2)
5:2;(R2,B4)
6:6;(B6,D1)
7:5;(R4,D5)
8:5;(B1,E3)
9:3;(R3,A1)
10:2;(B4,B2)
11:2;(R2,C3)
12:5;(B2,B3)
13:2;(R2,D3)
14:6;(B6,C2)
15:3;(R3,B1)
16:4;(B6,C3)
17:1;(R1,A3)
18:2;(B2,B4)
19:2;(R2,D2)
20:2;(B4,B3)
21:2;(R2,E1)
