R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:1;(R1,A3)
2:4;(B5,D3)
3:1;(R1,A2)
4:4;(B5,C4)
5:5;(R5,C3)
6:1;(B1,E3)
7:6;(R6,A4)
8:5;(B5,B5)
9:4;(R4,D5)
10:5;(B4,C2)
11:1;(R1,B2)
12:5;(B1,D4)
13:3;(R1,C1)
14:5;(B2,C2)
15:6;(R6,B3)
16:1;(B2,C3)
17:2;(R4,E4)
18:1;(B1,D5)
19:2;(R1,D1)
20:1;(B1,C5)
21:4;(R4,E3)
22:1;(B2,B3)
23:3;(R1,E1)
