R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:5;(B5,C2)
2:2;(R2,C4)
3:3;(B6,D1)
4:1;(R1,B3)
5:3;(B5,B3)
6:6;(R6,A4)
7:2;(B3,E4)
8:5;(R5,C4)
9:2;(B6,D2)
10:5;(R5,C3)
11:3;(B4,C2)
12:3;(R3,B3)
13:2;(B3,E5)
14:3;(R3,B2)
15:5;(B6,C3)
16:6;(R6,B3)
17:2;(B1,D2)
18:3;(R3,C2)
19:6;(B6,C4)
20:4;(R4,D5)
21:1;(B6,B4)
22:3;(R3,C1)
23:1;(B6,A5)
