R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:6;(R6,A4)
2:1;(B4,C2)
3:4;(R4,D4)
4:2;(B3,D4)
5:6;(R6,B3)
6:1;(B2,C2)
7:5;(R5,B3)
8:5;(B3,C4)
9:2;(R2,B4)
10:4;(B2,B2)
11:1;(R2,C3)
12:3;(B5,C3)
13:2;(R3,B2)
14:2;(B1,D3)
15:5;(R5,B2)
16:3;(B3,B5)
17:4;(R5,B1)
18:5;(B1,D4)
19:2;(R5,C1)
20:3;(B1,C4)
21:1;(R5,D1)
22:1;(B1,B4)
23:4;(R5,E1)
