R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(R2,B4)
2:5;(B5,D3)
3:2;(R2,B3)
4:4;(B6,D1)
5:6;(R6,B4)
6:6;(B3,D4)
7:4;(R4,D5)
8:6;(B4,B2)
9:3;(R3,B2)
10:4;(B3,C5)
11:4;(R4,D4)
12:3;(B1,E3)
13:5;(R6,C4)
14:5;(B6,C1)
15:1;(R1,A3)
16:5;(B1,D3)
17:2;(R2,C3)
18:3;(B3,B5)
19:3;(R3,C2)
20:3;(B6,B2)
21:3;(R3,D1)
22:5;(B1,C3)
23:4;(R4,E3)
24:3;(B3,A5)
