R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:4;(B6,D1)
2:1;(R1,A3)
3:4;(B4,C2)
4:4;(R4,D5)
5:5;(B3,D3)
6:3;(R4,E4)
7:2;(B5,D3)
8:6;(R6,A4)
9:4;(B4,C3)
10:5;(R5,C3)
11:1;(B1,D3)
12:4;(R4,E3)
13:3;(B1,C4)
14:1;(R1,B3)
15:5;(B6,D2)
16:1;(R1,B2)
17:1;(B1,B5)
18:3;(R4,E2)
19:4;(B6,C3)
20:5;(R6,A3)
21:5;(B6,B4)
22:3;(R4,E1)
