R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:5;(R5,C3)
2:5;(B2,C2)
3:2;(R2,C4)
4:4;(B6,E2)
5:1;(R1,B4)
6:5;(B4,B2)
7:5;(R5,D3)
8:2;(B2,B3)
9:4;(R4,D5)
10:5;(B5,C3)
11:6;(R6,B4)
12:1;(B4,A3)
13:2;(R2,D3)
14:3;(B5,B4)
15:5;(R4,E4)
16:3;(B4,A4)
17:6;(R4,E3)
18:3;(B2,B4)
19:5;(R4,E2)
20:4;(B2,A5)
