R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:3;(B2,C1)
2:3;(R3,B2)
3:1;(B5,D3)
4:4;(R4,D4)
5:4;(B2,B2)
6:2;(R2,C5)
7:4;(B1,E3)
8:5;(R5,B3)
9:4;(B2,A2)
10:2;(R2,C4)
11:4;(B1,D3)
12:2;(R2,D3)
13:4;(B6,D2)
14:4;(R4,D3)
15:1;(B6,D3)
16:4;(R1,B4)
17:6;(B6,D4)
18:4;(R5,C2)
19:2;(B6,D5)
20:4;(R5,D1)
21:5;(B2,A3)
22:5;(R5,E1)
