R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:3;(B1,D2)
2:4;(R4,D5)
3:1;(B4,C2)
4:3;(R3,B2)
5:1;(B6,D2)
6:3;(R3,B1)
7:1;(B4,B3)
8:6;(R6,B4)
9:4;(B4,B4)
10:4;(R4,E5)
11:5;(B2,D2)
12:3;(R3,C1)
13:5;(B2,C3)
14:2;(R2,B4)
15:4;(B3,E4)
16:1;(R1,A3)
17:4;(B3,D5)
18:3;(R3,D1)
19:3;(B3,C5)
20:1;(R1,B3)
21:5;(B3,B5)
22:2;(R2,B3)
23:3;(B3,A5)
