R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:4;(B6,D1)
2:2;(R2,C4)
3:3;(B1,E3)
4:5;(R5,C4)
5:1;(B5,C2)
6:3;(R3,B3)
7:2;(B6,D2)
8:2;(R3,C2)
9:3;(B4,C2)
10:2;(R4,C4)
11:4;(B1,D4)
12:3;(R4,C3)
13:5;(B1,C5)
14:3;(R4,D2)
15:1;(B4,C3)
16:5;(R6,A4)
17:3;(B4,B4)
18:6;(R6,B3)
19:3;(B1,B5)
20:6;(R6,B2)
21:3;(B4,A5)
