R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:5;(B2,C1)
2:4;(R4,C4)
3:4;(B2,C2)
4:6;(R6,A4)
5:2;(B3,D3)
6:2;(R2,C4)
7:1;(B1,D3)
8:1;(R2,D3)
9:1;(B6,E2)
10:3;(R3,A2)
11:1;(B5,D3)
12:5;(R5,C3)
13:2;(B6,D3)
14:2;(R3,B2)
15:1;(B2,C3)
16:2;(R3,C1)
17:2;(B2,B3)
18:2;(R3,D1)
19:1;(B2,A4)
20:3;(R3,E1)
