R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:5;(R5,C4)
2:3;(B2,D2)
3:1;(R1,A3)
4:6;(B2,D3)
5:6;(R6,A4)
6:2;(B6,E2)
7:3;(R2,C4)
8:4;(B4,B1)
9:1;(R1,B3)
10:2;(B2,D4)
11:2;(R2,D3)
12:3;(B6,E3)
13:2;(R2,E2)
14:2;(B2,D5)
15:6;(R6,A3)
16:4;(B6,E4)
17:1;(R1,B2)
18:2;(B2,C5)
19:3;(R6,B2)
20:1;(B4,B2)
21:2;(R2,E1)
