R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:6;(B2,C2)
2:3;(R3,B3)
3:3;(B1,E3)
4:1;(R1,B3)
5:1;(B4,B1)
6:3;(R4,C4)
7:5;(B6,D2)
8:5;(R5,C3)
9:3;(B6,D3)
10:4;(R4,C3)
11:1;(B2,C3)
12:1;(R1,C2)
13:4;(B6,C4)
14:3;(R6,A4)
15:1;(B1,E4)
16:1;(R1,D1)
17:5;(B6,B5)
18:3;(R6,A3)
19:1;(B2,C4)
20:2;(R6,A2)
21:4;(B6,A5)
