R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:1;(B2,C1)
2:2;(R2,B4)
3:1;(B3,D4)
4:2;(R2,C4)
5:4;(B2,B1)
6:2;(R2,D3)
7:3;(B5,D3)
8:3;(R3,A2)
9:1;(B6,E2)
10:1;(R1,B4)
11:3;(B6,D2)
12:5;(R6,B4)
13:1;(B6,D3)
14:3;(R3,A1)
15:4;(B6,D4)
16:6;(R6,C3)
17:1;(B2,A2)
18:6;(R6,D2)
19:5;(B6,C4)
20:1;(R3,B1)
21:6;(B2,A3)
22:2;(R3,C1)
23:3;(B6,B5)
24:4;(R4,D4)
25:2;(B6,A5)
