R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:3;(B3,E4)
2:6;(R6,A4)
3:1;(B2,C2)
4:3;(R3,B3)
5:2;(B3,D4)
6:1;(R2,C4)
7:4;(B1,E3)
8:5;(R5,B3)
9:1;(B3,C4)
10:6;(R6,A3)
11:1;(B4,C2)
12:3;(R4,C4)
13:5;(B1,E4)
14:4;(R4,C3)
15:2;(B6,E2)
16:6;(R6,A2)
17:1;(B4,C3)
18:3;(R5,C2)
19:2;(B5,D3)
20:4;(R5,C1)
21:3;(B6,D3)
22:5;(R5,D1)
23:5;(B6,C3)
24:5;(R5,E1)
