R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:1;(B2,C1)
2:5;(R5,C4)
3:2;(B1,E3)
4:6;(R6,A4)
5:1;(B5,D3)
6:5;(R5,D3)
7:2;(B1,D3)
8:2;(R2,C4)
9:1;(B2,B2)
10:3;(R3,B3)
11:5;(B6,D2)
12:6;(R6,A3)
13:3;(B2,B3)
14:6;(R6,B3)
15:5;(B6,C3)
16:4;(R4,C4)
17:1;(B6,B4)
18:3;(R4,D4)
19:2;(B6,A5)
