R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:4;(B1,D2)
2:2;(R2,B4)
3:1;(B1,C2)
4:1;(R1,B4)
5:2;(B4,B2)
6:2;(R1,B3)
7:3;(B2,C1)
8:2;(R3,B2)
9:1;(B3,D4)
10:4;(R4,D4)
11:5;(B6,D1)
12:1;(R1,C2)
13:6;(B6,C2)
14:6;(R6,B5)
15:3;(B6,C3)
16:4;(R4,D3)
17:6;(B6,B3)
18:6;(R6,C5)
19:4;(B2,C2)
20:5;(R4,E2)
21:4;(B2,C3)
22:5;(R6,C4)
23:4;(B6,B4)
24:2;(R3,B1)
25:1;(B2,B4)
26:2;(R3,C1)
27:2;(B2,A5)
