R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:3;(B3,D3)
2:4;(R4,C4)
3:5;(B6,D2)
4:5;(R5,C3)
5:4;(B6,C2)
6:2;(R2,B4)
7:5;(B4,C2)
8:5;(R5,D2)
9:5;(B4,B3)
10:2;(R2,B3)
11:6;(B2,D2)
12:5;(R4,D3)
13:1;(B1,D3)
14:5;(R3,B3)
15:3;(B2,C2)
16:5;(R3,C2)
17:3;(B1,D4)
18:5;(R3,D2)
19:2;(B1,C4)
20:6;(R6,A4)
21:4;(B1,B5)
22:4;(R6,A3)
23:3;(B1,A5)
