R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(R2,C5)
2:4;(B4,B2)
3:2;(R2,C4)
4:3;(B2,D2)
5:5;(R5,B3)
6:2;(B4,B3)
7:3;(R3,B2)
8:6;(B1,D3)
9:1;(R1,A3)
10:4;(B3,D3)
11:5;(R6,B4)
12:4;(B3,C4)
13:3;(R3,B1)
14:1;(B3,B5)
15:4;(R3,C1)
16:3;(B2,C3)
17:5;(R6,C4)
18:4;(B4,A4)
19:4;(R6,D3)
20:3;(B3,A5)
