R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:1;(B5,D3)
2:3;(R3,B2)
3:3;(B2,D2)
4:4;(R4,D5)
5:2;(B2,C3)
6:1;(R1,B4)
7:2;(B6,E2)
8:5;(R4,E5)
9:4;(B2,B4)
10:5;(R6,B4)
11:5;(B4,B2)
12:6;(R6,C4)
13:3;(B6,E3)
14:6;(R6,D3)
15:4;(B4,B3)
16:4;(R4,E4)
17:1;(B4,B4)
18:5;(R6,D2)
19:6;(B4,A5)
