R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(B3,E4)
2:1;(R1,B4)
3:3;(B3,E5)
4:3;(R3,A2)
5:2;(B2,C2)
6:4;(R4,D4)
7:3;(B6,E2)
8:2;(R2,B4)
9:3;(B3,D5)
10:2;(R2,C3)
11:2;(B3,C5)
12:4;(R4,E3)
13:2;(B3,B5)
14:1;(R2,D2)
15:3;(B2,C3)
16:2;(R2,D1)
17:2;(B6,E3)
18:5;(R6,A4)
19:4;(B4,B2)
20:1;(R2,E1)
