R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:3;(B2,C1)
2:5;(R5,B3)
3:3;(B5,C3)
4:6;(R6,A4)
5:2;(B1,D2)
6:2;(R2,C4)
7:1;(B3,E4)
8:1;(R2,D3)
9:1;(B5,B4)
10:6;(R6,B4)
11:5;(B1,D3)
12:5;(R5,C3)
13:2;(B6,D2)
14:5;(R5,D3)
15:1;(B2,B2)
16:3;(R3,A2)
17:1;(B2,A3)
18:5;(R5,D2)
19:3;(B3,D5)
20:6;(R6,C3)
21:2;(B2,A4)
22:2;(R3,B1)
23:1;(B3,C5)
24:1;(R3,C1)
25:6;(B3,B5)
26:3;(R3,D1)
27:5;(B2,A5)
