R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(R2,C5)
2:4;(B3,D4)
3:2;(R2,C4)
4:5;(B4,B2)
5:1;(R1,A3)
6:5;(B2,C2)
7:3;(R2,C3)
8:4;(B6,E2)
9:3;(R2,C2)
10:3;(B3,C4)
11:3;(R2,C1)
12:1;(B3,C5)
13:3;(R5,C4)
14:2;(B4,B3)
15:6;(R6,B4)
16:3;(B5,D3)
17:5;(R5,D3)
18:4;(B4,A4)
19:2;(R2,D1)
20:4;(B4,A5)
