R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:4;(B4,B1)
2:6;(R6,A4)
3:1;(B6,D1)
4:1;(R2,B4)
5:2;(B5,C3)
6:4;(R4,C4)
7:1;(B6,C2)
8:4;(R4,D3)
9:2;(B3,D3)
10:1;(R2,B3)
11:3;(B1,D3)
12:6;(R6,A3)
13:2;(B5,C4)
14:1;(R2,B2)
15:1;(B1,C3)
16:1;(R2,C1)
17:4;(B1,B4)
18:6;(R6,B2)
19:3;(B1,A4)
20:2;(R2,D1)
21:2;(B5,C5)
22:1;(R2,E1)
