R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:1;(B5,C2)
2:4;(R4,D4)
3:2;(B5,C3)
4:1;(R1,A3)
5:5;(B3,D4)
6:3;(R2,B4)
7:2;(B2,C2)
8:3;(R6,B4)
9:5;(B1,D2)
10:1;(R1,B2)
11:3;(B2,B2)
12:2;(R6,C3)
13:1;(B6,D2)
14:6;(R6,C2)
15:3;(B2,A3)
16:1;(R6,C1)
17:5;(B3,C4)
18:5;(R6,D1)
19:2;(B6,C3)
20:2;(R6,E1)
