R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:4;(B1,D2)
2:5;(R5,C3)
3:3;(B4,C2)
4:3;(R3,A2)
5:6;(B1,C2)
6:2;(R2,C5)
7:5;(B6,D2)
8:6;(R6,A4)
9:5;(B6,C3)
10:3;(R3,A1)
11:5;(B1,C3)
12:2;(R2,D5)
13:5;(B3,D3)
14:6;(R6,B4)
15:5;(B3,C4)
16:1;(R2,E4)
17:6;(B3,C5)
18:3;(R3,B1)
19:5;(B3,B5)
20:4;(R6,B3)
21:2;(B3,A5)
