R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:6;(B5,C2)
2:1;(R1,A3)
3:5;(B1,E3)
4:2;(R2,C5)
5:4;(B2,C2)
6:6;(R6,B4)
7:3;(B1,E4)
8:6;(R6,B3)
9:4;(B2,B2)
10:6;(R6,B2)
11:2;(B1,D5)
12:2;(R2,C4)
13:3;(B6,D2)
14:4;(R2,C3)
15:4;(B4,B1)
16:1;(R1,A2)
17:1;(B4,A2)
18:4;(R6,B1)
19:5;(B1,C5)
20:1;(R2,D2)
21:3;(B4,A3)
22:1;(R2,E1)
