R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:6;(R6,B4)
2:3;(B1,D3)
3:3;(R3,A2)
4:3;(B3,D3)
5:1;(R1,B3)
6:1;(B4,B2)
7:2;(R2,C4)
8:6;(B2,C1)
9:1;(R1,C2)
10:3;(B4,A3)
11:3;(R3,A1)
12:4;(B2,B2)
13:6;(R6,C3)
14:6;(B5,D3)
15:4;(R4,D5)
16:1;(B2,A3)
17:1;(R1,C1)
18:1;(B2,A4)
19:4;(R4,E5)
20:5;(B2,A5)
