R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:2;(B1,D2)
2:3;(R3,B3)
3:1;(B6,E2)
4:2;(R2,C4)
5:4;(B4,B1)
6:1;(R1,B4)
7:6;(B4,A1)
8:6;(R6,B4)
9:5;(B4,A2)
10:5;(R4,C4)
11:4;(B4,A3)
12:6;(R6,C3)
13:4;(B1,D3)
14:5;(R4,C3)
15:1;(B1,C4)
16:6;(R4,C2)
17:2;(B2,D2)
18:5;(R4,D1)
19:5;(B1,B4)
20:3;(R3,C3)
21:6;(B6,D2)
22:2;(R3,C2)
23:4;(B6,D3)
24:6;(R4,E1)
