R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:4;(B2,C1)
2:1;(R1,A3)
3:3;(B6,E2)
4:2;(R2,B4)
5:3;(B2,B1)
6:1;(R1,A2)
7:3;(B3,D4)
8:6;(R6,A4)
9:4;(B5,C3)
10:5;(R6,B4)
11:1;(B2,B2)
12:1;(R1,B1)
13:1;(B2,A3)
14:6;(R6,C3)
15:5;(B6,D2)
16:5;(R4,D5)
17:4;(B2,A4)
18:6;(R6,D2)
19:1;(B3,C5)
20:6;(R6,E1)
