R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:4;(B5,C2)
2:6;(R6,A4)
3:3;(B3,D4)
4:2;(R2,C4)
5:2;(B1,E3)
6:5;(R5,B3)
7:2;(B6,D1)
8:4;(R4,D4)
9:1;(B4,B1)
10:5;(R5,B2)
11:2;(B4,A1)
12:2;(R2,D4)
13:1;(B5,C3)
14:1;(R2,D3)
15:2;(B6,C1)
16:5;(R5,B1)
17:4;(B1,D3)
18:1;(R3,B2)
19:5;(B1,C3)
20:3;(R3,C1)
21:5;(B4,A2)
22:3;(R3,D1)
23:1;(B1,C4)
24:1;(R3,E1)
