R:A4-1;B5-2;A3-3;C5-4;B4-5;A5-6
B:E2-1;D1-2;E3-3;C1-4;D2-5;E1-6
1:1;(R1,B3)
2:2;(B3,D4)
3:6;(R6,A4)
4:3;(B5,D3)
5:6;(R6,A3)
6:2;(B5,C4)
7:3;(R2,C5)
8:5;(B1,D2)
9:2;(R2,D5)
10:3;(B1,C3)
11:2;(R2,E4)
12:2;(B2,C1)
13:4;(R5,C4)
14:4;(B1,C4)
15:5;(R6,A2)
16:3;(B3,C4)
17:3;(R6,A1)
18:1;(B6,D2)
19:6;(R6,B1)
20:4;(B3,B5)
21:4;(R2,E3)
22:2;(B6,C3)
23:6;(R6,C1)
24:2;(B3,A5)
